title,magnitude,date,time,cdi,mmi,alert,tsunami,sig,dmin,gap,depth,latitude,longitude,location,continent,country
M 7.0,7,22/11/2022,2:03:00 AM,8,7,green,1,768,0.509,17,14,-9.7963,159.596,Malango- Solomon Islands,Oceania,Solomon Islands
M 6.9,6.9,18/11/2022,1:37:00 PM,4,4,green,0,735,2.229,34,25,-4.9559,100.738,Bengkulu- Indonesia,Asia,Indonesia
M 7.3,7.3,11/11/2022,10:48:00 AM,5,5,green,1,833,1.865,21,37,-19.2918,-172.129,Neiafu- Tonga,Oceania,Tonga
M 7.0,7,9/11/2022,9:51:00 AM,4,3,green,1,755,4.578,26,660,-26.0442,178.381,the Fiji Islands,Oceania,Fiji
M 6.8,6.8,9/11/2022,9:38:00 AM,1,3,green,1,711,4.678,22,630.379,-25.9678,178.363,the Fiji Islands,Oceania,Fiji
M 6.7,6.7,20/10/2022,11:57:00 AM,7,6,green,1,797,1.151,37,20,7.6712,-82.3396,Boca Chica- Panama,Central America,Panama
M 6.8,6.8,22/09/2022,6:16:00 AM,8,7,yellow,1,1179,2.137,92,20,18.33,-102.913,Aguililla- Mexico,North America,Mexico
M 7.6,7.6,19/09/2022,6:05:00 PM,9,8,yellow,1,1799,1.153,69,26.943,18.3667,-103.252,Aguililla- Mexico,North America,Mexico
M 6.9,6.9,18/09/2022,6:44:00 AM,9,9,yellow,1,887,0.401,34,10,23.1444,121.307,Yujing- Taiwan,Asia,Taiwan
M 6.5,6.5,17/09/2022,1:41:00 PM,7,7,green,1,756,0.43,54,10,23.029,121.348,Lugu- Taiwan,Asia,Taiwan
M 7.0,7,14/09/2022,11:04:00 AM,7,5,green,1,761,2.977,45,137,-21.2077,170.239,Isangel- Vanuatu,Oceania,Vanuatu
M 7.6,7.6,10/9/2022,11:47:00 AM,8,8,yellow,1,965,3.158,12,116,-6.2237,146.471,Kainantu- Papua New Guinea,Oceania,Papua New Guinea
M 6.6,6.6,5/9/2022,4:52:00 AM,9,8,orange,0,1043,8.454,34,12,29.7263,102.279,Kangding- China,Asia,China
M 6.6,6.6,14/08/2022,1:44:00 PM,7,6,green,1,672,5.293,34,30,-32.6922,-178.959,the Kermadec Islands,Oceania,New Zealand
M 7.0,7,27/07/2022,12:43:00 AM,9,8,yellow,1,1351,5.276,22,33.729,17.5978,120.809,Bantay- Philippines,Asia,Philippines
M 6.5,6.5,8/6/2022,12:55:00 PM,3,2,green,0,653,1.999,31,622.73,-9.0618,-71.1647,Tarauacá- Brazil,South America,Brazil
M 7.2,7.2,26/05/2022,12:02:00 PM,7,5,green,1,876,2.494,40,236,-14.8628,-70.3081,Azángaro- Peru,South America,Peru
M 6.8,6.8,10/5/2022,11:06:00 AM,6,5,green,1,762,1.505,30,220,-23.6141,-66.7236,San Antonio de los Cobres- Argentina,South America,Argentina
M 6.6,6.6,21/04/2022,7:42:00 AM,6,5,green,1,762,0.914,94,27,11.5538,-86.9919,Masachapa- Nicaragua,Central America,Nicaragua
M 7.0,7,31/03/2022,5:44:00 AM,6,4,green,1,763,2.705,26,10,-22.5732,170.349,the Loyalty Islands,Oceania,New Caledonia
M 6.9,6.9,30/03/2022,8:56:00 PM,6,4,green,1,738,2.697,42,10,-22.72,170.277,Tadine- New Caledonia,Oceania,New Caledonia
M 6.7,6.7,22/03/2022,5:41:00 PM,8,7,green,1,806,0.289,32,24,23.3421,121.636,Hualien City- Taiwan,Asia,Taiwan
M 7.3,7.3,16/03/2022,2:36:00 PM,9,8,red,1,2397,2.936,29,41,37.7015,141.587,Namie- Japan,Asia,Japan
